Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
4,lucene-svd-blend,0.1,0.025,68.661,172,860,860,1.0,0.735555842450604,0.8327486039466142,0.9681569319337605,0.029475299146419335,0.027981474601054688,0.03603081824696052
4,svd,,16.058,0.334,172,860,860,1.0,0.7348035250009516,0.8136207150271004,0.9686036331226434,0.04448552402663289,0.0749552866164483,0.07567746792690991
4,ii-svd-blend,0.3,0.081,94.021,172,860,860,1.0,0.7196439806328435,0.8004149519970675,0.9699793612328131,0.042272771466131245,0.06451009277931073,0.07692019653414069
4,ii-svd-blend,0.2,0.096,93.449,172,860,860,1.0,0.7211933854457547,0.8023616370844752,0.9704449983109154,0.03724334319469346,0.058360869878883816,0.06701488985621017
3,lucene,,0.057,15.232000000000001,172,860,835,0.9709302325581395,0.7167765823678325,0.8061773676844028,0.9553915554576168,0.022876638342362605,0.02868512078257454,0.029126946230184393
4,lucene-svd-blend,0,0.024,66.17,172,860,860,1.0,0.7443787044877408,0.8447269771408511,0.9680899783744649,0.026211377869211135,0.023666191121433113,0.028442957988412728
4,ii,,0.055,39.04,172,860,860,1.0,0.7266584906990334,0.8085766868560548,0.9693423424092334,0.03179328006988164,0.05170164787033351,0.05708259482275789
4,ii-svd-blend,0.1,0.094,87.883,172,860,860,1.0,0.7235344803186328,0.8050848305491964,0.9701597114977456,0.03387003766036669,0.051911400343162876,0.058534369886879066
1,lucene-svd-blend,0.2,0.029,62.036,173,865,865,1.0,0.7237714720705515,0.8182834609152018,0.9722635235690528,0.020311906044334267,0.03459296424269849,0.03458045266949327
4,ii-svd-blend,0,0.054,87.20100000000001,172,860,860,1.0,0.7266584906990334,0.8085766868560548,0.9693423424092334,0.03179328006988164,0.05170164787033351,0.05708259482275789
3,lucene-svd-blend,1.0,26.481,69.724,172,860,860,1.0,0.6906321556990441,0.7791163118303491,0.9706067476782743,0.03856224920638797,0.05087403253473447,0.05482753612127383
3,lucene-svd-blend,0.8,5.428,70.678,172,860,860,1.0,0.680847251219277,0.7675583673028035,0.9707299937909245,0.03751426106756896,0.05142809394618184,0.055285302374228705
