Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,101921,0.002,,,,,,0.0,0.0,,0.0
5,popular,101952,0.002,,,,,,0.0,0.0,,0.0
5,popular,102750,0.002,,,,,,0.2598208727651106,0.26666666666666666,3,0.3333333333333333
5,popular,103286,0.002,,,,,,0.1268494906688386,0.125,8,0.125
5,popular,103667,0.002,,,,,,0.07063698352748346,0.1,10,0.1
5,popular,103816,0.002,,,,,,0.0,0.0,,0.0
5,popular,104732,0.002,,,,,,0.0,0.0,,0.0
5,popular,107711,0.002,,,,,,0.0,0.0,,0.0
5,popular,108442,0.002,,,,,,0.2832745909938605,0.18888888888888888,5,0.2
5,popular,109009,0.002,,,,,,0.21408932624871202,0.3333333333333333,3,0.3333333333333333
5,popular,109177,0.002,,,,,,0.0,0.0,,0.0
5,popular,110148,0.002,,,,,,0.0,0.0,,0.0
5,popular,113673,0.002,,,,,,0.4987090626778217,0.5,2,0.5
5,popular,113847,0.002,,,,,,0.0775645594604998,0.08333333333333333,12,0.08333333333333333
5,popular,114078,0.002,,,,,,0.0,0.0,,0.0
5,popular,116420,0.002,,,,,,0.0,0.0,,0.0
5,popular,116550,0.002,,,,,,0.07889080200210116,0.07692307692307693,13,0.07692307692307693
5,popular,119501,0.002,,,,,,0.0,0.0,,0.0
5,popular,120308,0.002,,,,,,0.14733080461789988,0.07846153846153847,13,0.07692307692307693
5,popular,120320,0.002,,,,,,0.0,0.0,,0.0
5,popular,120479,0.002,,,,,,0.08374994048311968,0.06666666666666667,15,0.06666666666666667
5,popular,124823,0.002,,,,,,0.0,0.0,,0.0
5,popular,124849,0.002,,,,,,0.0,0.0,,0.0
5,popular,124936,0.002,,,,,,0.1400795075429592,0.08596491228070174,15,0.06666666666666667
5,popular,127453,0.001,,,,,,0.4358180821198595,0.5833333333333333,2,0.5
5,popular,128079,0.002,,,,,,0.13597019894019075,0.2,5,0.2
5,popular,128111,0.002,,,,,,0.0,0.0,,0.0
5,popular,128224,0.002,,,,,,0.27768369645636226,1.0,1,1.0
5,popular,129008,0.001,,,,,,0.30776001022457067,1.0,1,1.0
5,popular,129498,0.001,,,,,,0.4860755962068008,0.45555555555555555,1,1.0
5,popular,130446,0.001,,,,,,0.0,0.0,,0.0
5,popular,130819,0.002,,,,,,0.0,0.0,,0.0
5,popular,131331,0.002,,,,,,0.26611515245952455,0.5,2,0.5
5,popular,131910,0.001,,,,,,0.0629419465349017,0.045454545454545456,22,0.045454545454545456
5,popular,134316,0.002,,,,,,0.0,0.0,,0.0
5,popular,134401,0.001,,,,,,0.2865875024062531,0.5,2,0.5
5,popular,135223,0.002,,,,,,0.22359660595503097,0.13392857142857142,7,0.14285714285714285
5,popular,136037,0.002,,,,,,0.4001116298376201,0.625,1,1.0
5,popular,138072,0.001,,,,,,0.0,0.0,,0.0
5,lucene,320,7.045,5,5,1.0,0.9755026946181498,14.696678442077467,0.06250174969299385,0.05263157894736842,19,0.05263157894736842
5,lucene,359,0.19,5,5,1.0,0.9502157182667224,13.365495493007945,0.0,0.0,,0.0
5,lucene,1387,0.226,5,5,1.0,0.9928482451430585,13.90015721397125,0.0,0.0,,0.0
5,lucene,1741,0.676,5,5,1.0,0.956912317240773,10.769227460399792,0.0,0.0,,0.0
5,lucene,1835,0.095,5,5,1.0,0.9662670221772593,16.30803155822425,0.0,0.0,,0.0
5,lucene,1935,0.111,5,5,1.0,0.9854393989368408,12.489057293322526,0.09904399748505512,0.08333333333333333,12,0.08333333333333333
5,lucene,2847,0.108,5,5,1.0,0.9907170124302686,13.973339221038733,0.0,0.0,,0.0
5,lucene,2945,0.23800000000000002,5,4,0.8,0.9173996245336196,11.9582541375001,0.07100243344465251,0.05,20,0.05
5,lucene,3665,0.092,5,5,1.0,0.9280510203744851,13.842693279187555,0.07380910730371419,0.058823529411764705,17,0.058823529411764705
5,lucene,5450,0.124,5,5,1.0,0.9619121125429769,13.98134016304077,0.0,0.0,,0.0
5,lucene,5611,0.082,5,5,1.0,1.0,15.100410409469312,0.0762768084052789,0.06666666666666667,15,0.06666666666666667
5,lucene,6116,0.089,5,5,1.0,0.9176416425138947,13.627355000150859,0.0,0.0,,0.0
5,lucene,7880,0.127,5,5,1.0,0.9852783466243938,12.350410409469312,0.0,0.0,,0.0
5,lucene,8335,0.033,5,5,1.0,1.0,15.600410409469312,0.0,0.0,,0.0
5,lucene,9197,0.122,5,5,1.0,0.9851048385249096,12.204395572359223,0.0,0.0,,0.0
5,lucene,11337,0.081,5,4,0.8,0.9202287259797907,14.904648767857287,0.0,0.0,,0.0
5,lucene,12288,0.129,5,5,1.0,0.9630990716050308,12.346551844328435,0.0,0.0,,0.0
5,lucene,13927,0.032,5,5,1.0,1.0,16.662016721114163,0.30008372237821507,1.0,1,1.0
5,lucene,14947,0.077,5,5,1.0,0.9810060951158126,16.492566681438525,0.06771108038011066,0.047619047619047616,21,0.047619047619047616
5,lucene,16581,0.137,5,5,1.0,1.0,13.25028381172028,0.0,0.0,,0.0
5,lucene,18115,0.203,5,4,0.8,0.9843265608084074,13.52371901428583,0.0,0.0,,0.0
5,lucene,18192,0.16,5,5,1.0,0.9644526565152852,13.565748688506009,0.0,0.0,,0.0
5,lucene,18204,0.049,5,5,1.0,0.9835289044193757,11.727197786179612,0.0,0.0,,0.0
5,lucene,18675,0.128,5,5,1.0,0.9391748300055545,10.569607253646886,0.0,0.0,,0.0
5,lucene,18758,0.097,5,5,1.0,0.9869512580070504,15.146298648830369,0.0,0.0,,0.0
5,lucene,19178,0.047,5,5,1.0,0.9393019692745385,15.058031558224252,0.0,0.0,,0.0
5,lucene,19414,0.109,5,5,1.0,0.992128090724946,12.619354058148824,0.0,0.0,,0.0
5,lucene,19800,0.184,5,5,1.0,0.9687849025695392,14.56189012336513,0.0,0.0,,0.0
5,lucene,21401,0.029,5,5,1.0,0.9745761994032426,15.930960369793672,0.0,0.0,,0.0
5,lucene,22245,0.036000000000000004,5,5,1.0,0.9926434642900739,14.031086967542706,0.0,0.0,,0.0
5,lucene,22352,0.179,5,5,1.0,0.945873091332144,15.461763525616098,0.0,0.0,,0.0
5,lucene,22483,0.132,5,5,1.0,0.9505766324871329,14.072832830042605,0.0,0.0,,0.0
5,lucene,23068,0.12,5,4,0.8,0.8784306452188982,11.392789260714373,0.0,0.0,,0.0
5,lucene,23638,0.125,5,5,1.0,1.0,11.60426897461019,0.0,0.0,,0.0
5,lucene,24112,0.113,5,5,1.0,1.0,7.9425360652163075,0.0,0.0,,0.0
5,lucene,26022,0.057,5,5,1.0,0.9780248069094993,14.211763525616098,0.0,0.0,,0.0
5,lucene,27142,0.107,5,5,1.0,0.9599415491175431,15.211763525616098,0.1358896756544341,0.2,5,0.2
